movieId,totalSeats,availableSeats,screenName,language,movieFormat,subtitle,screenType,filmFormat,theatreId,experienceKey,startTime,endTime
36400,234,231,SCREEN-2,Hindi,,False,,,519,,2026-03-05T21:10:00,2026-03-06T00:00:00
36400,267,252,SCREEN 1,Hindi,,False,,,14,,2026-03-05T13:45:00,2026-03-05T16:28:00
36400,267,265,SCREEN 1,Hindi,,False,,,14,,2026-03-05T16:30:00,2026-03-05T19:13:00
36400,267,260,SCREEN 1,Hindi,,False,,,14,,2026-03-05T19:15:00,2026-03-05T21:59:00
36400,267,265,SCREEN 1,Hindi,,False,,,14,,2026-03-05T22:00:00,2026-03-06T00:47:00
36400,104,99,SCREEN 5,Hindi,,False,LASER,,282,laser,2026-03-05T11:00:00,2026-03-05T13:43:00
36400,104,100,SCREEN 5,Hindi,,False,LASER,,282,laser,2026-03-05T13:45:00,2026-03-05T16:28:00
36400,104,104,SCREEN 5,Hindi,,False,LASER,,282,laser,2026-03-05T16:30:00,2026-03-05T19:13:00
36400,104,104,SCREEN 5,Hindi,,False,LASER,,282,laser,2026-03-05T19:15:00,2026-03-05T21:58:00
36400,104,104,SCREEN 5,Hindi,,False,LASER,,282,laser,2026-03-05T22:00:00,2026-03-06T00:45:00
36400,183,158,SCREEN 3,Hindi,,False,,,261,,2026-03-05T12:45:00,2026-03-05T15:28:00
36400,183,181,SCREEN 3,Hindi,,False,,,261,,2026-03-05T15:30:00,2026-03-05T18:13:00
36400,183,183,SCREEN 3,Hindi,,False,,,261,,2026-03-05T18:15:00,2026-03-05T20:58:00
36400,183,180,SCREEN 3,Hindi,,False,,,261,,2026-03-05T21:00:00,2026-03-05T23:45:00
36400,271,256,AUDI 05,Hindi,,False,BIGPIX,,583,bigpix,2026-03-05T10:40:00,2026-03-05T13:27:00
36400,271,264,AUDI 05,Hindi,,False,BIGPIX,,583,bigpix,2026-03-05T16:05:00,2026-03-05T18:52:00
36400,26,23,AUDI 08,Hindi,,False,DINE-IN,,583,dine-in,2026-03-05T12:55:00,2026-03-05T15:42:00
36400,105,96,AUDI 05,Hindi,,False,,,385,,2026-03-05T10:30:00,2026-03-05T13:22:00
36400,277,268,AUDI 02,Hindi,,False,,,385,,2026-03-05T12:40:00,2026-03-05T15:29:00
36400,277,277,AUDI 02,Hindi,,False,,,385,,2026-03-05T15:30:00,2026-03-05T18:19:00
36400,277,277,AUDI 02,Hindi,,False,,,385,,2026-03-05T18:20:00,2026-03-05T21:09:00
36400,277,277,AUDI 02,Hindi,,False,,,385,,2026-03-05T21:10:00,2026-03-06T00:02:00
36400,279,259,AUDI 04,Hindi,ATMOS,False,,,520,,2026-03-05T10:40:00,2026-03-05T13:28:00
36400,279,242,AUDI 04,Hindi,ATMOS,False,,,520,,2026-03-05T13:30:00,2026-03-05T16:18:00
36400,279,252,AUDI 04,Hindi,ATMOS,False,,,520,,2026-03-05T16:20:00,2026-03-05T19:08:00
36400,279,272,AUDI 04,Hindi,ATMOS,False,,,520,,2026-03-05T19:10:00,2026-03-05T21:58:00
36400,279,269,AUDI 04,Hindi,ATMOS,False,,,520,,2026-03-05T22:00:00,2026-03-06T00:50:00
36400,31,29,AUDI 11 GOLD,Hindi,,False,GOLD,,520,gold,2026-03-05T13:00:00,2026-03-05T15:48:00
36400,31,31,AUDI 11 GOLD,Hindi,,False,GOLD,,520,gold,2026-03-05T18:50:00,2026-03-05T21:38:00
36400,31,29,AUDI 11 GOLD,Hindi,,False,GOLD,,520,gold,2026-03-05T21:40:00,2026-03-06T00:30:00
36400,192,187,SCREEN-4,Hindi,ATMOS,False,,,522,,2026-03-05T12:50:00,2026-03-05T15:39:00
36400,178,166,SCREEN-3,Hindi,ATMOS,False,,,522,,2026-03-05T15:16:00,2026-03-05T18:04:00
