movieId,title,imdb_url,adult,overview,runtime,status,tagline,facebook,instagram,twitter,tmdb_id
36400,THE KERALA STORY 2 GOES BEYOND (HINDI) (UA 16+),https://www.imdb.com/title/tt39310158,False,,,Post Production,,,,,1625582
36412,ASSI (HINDI) (A),https://www.imdb.com/title/tt39392533,False,,,Post Production,She didn't make it home that night.,,,,1435606
35805,DO DEEWANE SEHER MEIN (HINDI) (UA 13+),,False,,,Post Production,,,,,1584815
35040,O ROMEO (HINDI) (A),,False,,,In Production,,,,,1275574
31741,THE BRIDE (ENGLISH WITH ENGLISH SUBTITLE) (A),https://www.imdb.com/title/tt30851137,False,"In the 1930s, a lonely Frankenstein travels to Chicago to seek the aid of a Dr. Euphronius in creating a companion for himself. The two reinvigorate a murdered young woman and the Bride is born. She is beyond what either of them intended, igniting a combustible romance, the attention of the police and a wild and radical social movement.",,In Production,,,,,1159831
35281,HOPPERS (ENGLISH) (UA 7+),https://www.imdb.com/title/tt26443616,False,"Animal lover Mabel uses clever new technology designed to ""hop"" human consciousness into lifelike robotic animals to communicate with beavers, uncovering mysteries within the animal world beyond anything she could have imagined.",,In Production,Human. Nature.,,,,1327819
34782,SCREAM 7 (ENGLISH WITH ENGLISH SUBTITLE) (A),https://www.imdb.com/title/tt27047903,False,,,Post Production,,https://www.facebook.com/ScreamMovies,https://www.facebook.com/screammovies,https://www.twitter.com/ScreamMovies,1159559
36700,HAYAGRRIVA (KANNADA) (A),https://www.imdb.com/title/tt33354831,False,,,Released,,,,,1296122
36754,SONU KE TITU KI SWEETY (RE RELEASE) (HINDI) (U/A),https://www.imdb.com/title/tt7581902,False,,144,Released,,,,,498598
35811,HAMNET (ENGLISH) (UA 16+),https://www.imdb.com/title/tt14905854,False,,126,Released,Keep your heart open.,https://www.facebook.com/hamnetmovie,https://www.facebook.com/hamnetmovie,https://www.twitter.com/hamnetmovie,858024
36699,THE RISE OF ASHOKA (KANNADA) (UA 16+),https://www.imdb.com/title/tt28351240,False,,,Post Production,,,,,1147800
36753,HASEE TOH PHASEE (RE RELEASE) (HINDI) (U/A),https://www.imdb.com/title/tt3173910,False,,141,Released,Love Goes Cuckin Frazy,https://www.facebook.com/HaseeTohPhasee,,,251626
36692,MASTHISHKA MARANAM-A FRANKENBITING OF SIMONS MEMORIES (MALAYALAM) (UA 16+),https://www.imdb.com/title/tt36187149,False,,147,Released,,,,,1444032
36235,CHARAK (HINDI) (A),,False,"Blends suspense with social commentary, featuring storylines about child abduction and exploring themes of non-biological motherhood, friendship, childhood, and parenthood.",,Released,,,,,1461274
